lang	category	byte_premium	1000mb_scaled_mb	1000mb_tokens	100mb_scaled_mb	100mb_tokens	10mb_scaled_mb	10mb_tokens	5mb_scaled_mb	5mb_tokens	full_scaled_mb	full_tokens	proportions
chv_cyrl	100mb	1.796969484			100.0005229	32877056	10.00091607	3352064	5.001270237	1680384	256.3614541	84293120	webcorpora:0.5368879511332219,tatoeba:5.048002652867509e-05,oscar:0.03350834288163671,wiki:0.040633336874573496,glot500:0.14163290822486313,madlad400:0.24728698085917614
cjk_latn	10mb	1.170350075					10.00014581	3011072	5.001260584	1538560	12.10047795	3622400	nllb:1.0,glot500:0.0
ckb_arab	100mb	1.651286029			100.0021699	22688768	10.00084886	2335744	5.001497531	1190912	838.8717504	190565888	oscar:0.15362009074531532,wiki:0.03393324645329816,nllb:0.1931683830658455,bible:0.0026050708891467347,glot500:0.1760071146714651,madlad400:0.4406660941749292
ckt_cyrl	dropped	0.7											webcorpora:0.9999853847091953,tatoeba:1.4615290804753851e-05
cmn_hani	dropped	0.9156280335											glot500:1.0
cnh_latn	10mb	1.323849924					10.00003003	3186688	5.001168848	1628160	33.19836501	10364928	madlad400:1.0
cni_latn	dropped	1.404269617											americasnlp:0.21130126357792064,bible:0.7886987364220793
cor_latn	5mb	1.215014217							5.001729126	1550848	6.310978003	1936896	tatoeba:0.008038666357974594,wiki:0.2811609282576064,madlad400:0.710800405384419
cos_latn	100mb	1.176702158			100.0009103	30479360	10.00094112	3149312	5.00080157	1615360	413.9989747	126150656	tatoeba:5.239587196614401e-07,wiki:0.010886645662750194,glot500:0.6095980695242637,madlad400:0.3795147608542665
cre_latn	dropped	1.313918346											madlad400:1.0
crh_cyrl	5mb	1.89497331							5.001694719	1090048	5.855599094	1265664	glot500:0.10177123471356384,madlad400:0.8982287652864361
crh_latn	10mb	1.312089034					10.0008899	2820096	5.000153431	1438720	47.19816642	12994560	wiki:0.06676792451399792,nllb:0.8604959295566451,glot500:0.072736145929357
crs_latn	dropped	1.319917177											glot500:4.0180603718722236e-05,madlad400:0.9999598193962813
csb_latn	dropped	1.182431569											tatoeba:0.00035398068927210873,wiki:0.3557320020927733,glot500:0.6439140172179546
csy_latn	dropped	1.056389568											bible:0.5745427855120142,glot500:0.42545721448798585
ctd_latn	10mb	1.295581309					10.00126654	3126272	5.001220653	1590272	37.0976678	11405824	madlad400:1.0
ctp_latn	dropped	2.204445613											americasnlp:0.02189779737388331,bible:0.9781022026261167
ctu_latn	dropped	1.548170328											bible:0.7488473169957454,glot500:0.25115268300425464
cuk_latn	dropped	1.313505977											bible:0.8304043367973462,glot500:0.16959566320265382
cym_latn	1000mb	1.026556848	1000.001074	236230144	100.0020245	23621120	10.00048173	2422784	5.000499497	1230848			oscar:0.07289322126803359,wiki:0.061813252010575755,nllb:0.07874308606727935,glot500:0.09885360020116672,madlad400:0.6876968404529445
dan_latn	1000mb	1.021065783	1000.000037	208085504	100.0006305	20802048	10.00163278	2143232	5.000698378	1085440			oscar:0.9996025108326055,bible:0.00039748916739448527
dar_cyrl	10mb	2.015493724					10.00046682	2684416	5.000039908	1366528	16.99087632	4506624	webcorpora:1.0
deu_latn	1000mb	1.053648018	1000.001057	210817024	100.0017153	21072896	10.00048862	2168832	5.002336563	1104384			oscar:0.9976903929894843,bible:0.0023096070105157467
dik_latn	10mb	1.123839426					10.00036764	3244544	5.001308092	1650688	11.60978001	3753984	nllb:0.9246145540101715,bible:0.07538544598982859
din_latn	10mb	1.241578901					10.00019571	3547136	5.001111887	1803264	11.6868795	4125696	wiki:0.02705857708959554,madlad400:0.17667465265564733,nllb:0.7362398446522219,bible:0.060026925602535246
