lang	byte_premium	original_mb	scaled_mb
sna_latn	1.119177764	726.738067	649.3499876
snc_latn	1.466195058	1.493152	1.018385645
snd_arab	1.587969761	805.779353	507.4273911
snf_latn	1.146709789	1.145006	0.9985141934
snn_latn	1.730726155	1.757946	1.015727413
snp_latn	1.396219515	2.785774	1.995226374
snw_latn	1.307675253	1.242488	0.950150274
sny_latn	1.943729286	1.995295	1.026529267
som_latn	1.42230286	1706.508268	1199.820598
soq_latn	1.392297319	1.739479	1.249358866
sot_latn	1.166011747	421.25385	361.2775352
soy_latn	1.418285296	1.398561	0.9860928573
spa_latn	1.083831966	9200.315688	8488.691951
spl_latn	1.771712647	1.687583	0.9525150723
spp_latn	1.345939521	1.515156	1.125723687
sps_latn	1.364569953	1.557415	1.141322947
spy_latn	1.323002903	1.255814	0.9492148484
sqi_latn	1.335619892	1949.961296	1459.967247
srd_latn	1.109372772	28.702483	25.87271269
sri_latn	1.632220978	1.601691	0.9812954383
srm_latn	1.704153048	3.144602	1.845257974
srn_latn	1.060725469	15.615692	14.7217093
srp_cyrl	1.424878645	2338.473704	1641.173943
srp_latn	0.826257686	1053.530678	1275.06309
srq_latn	1.352012525	1.278831	0.9458721545
ssd_latn	1.239925945	1.69692	1.368565604
ssg_latn	1.132259834	1.1379	1.004981335
ssw_latn	1.141426619	24.727646	21.66380701
ssx_latn	1.861566593	2.097941	1.126976068
stb_latn	1.33411122	1.280832	0.9600638843
stp_latn	2.351422825	2.368224	1.00714511
stq_latn	1.211209311	5.703032	4.708543724
sua_latn	1.859952915	1.985942	1.067737782
suc_latn	1.517725309	1.447139	0.9534920393
sue_latn	1.27381317	1.209981	0.9498889072
sun_latn	1.096980852	680.632874	620.4601225
sus_arab	1.878553633	6.441401	3.428915143
sus_latn	1.063260268	3.773254	3.548758581
suz_deva	2.98006217	12.895852	4.327376835
swa_latn	1.258733422	2550.771216	2026.458638
swc_latn	1.32578343	1.089367	0.8216779419
swe_latn	1.020981292	8364.812116	8192.914189
swh_latn	1.069484906	13.592452	12.7093444
swp_latn	1.039103106	1.461143	1.40615786
sxb_latn	1.214319673	1.185455	0.9762297576
syb_latn	1.512955132	1.352078	0.8936669511
syl_beng	2.464908231	2.699232	1.095063892
syl_latn	1.078587918	2.305608	2.137617121
syr_syrc	1.410191627	23.869989	16.92676977
szl_latn	1.066563024	31.074976	29.13562096
tab_cyrl	1.932598008	7.751767	4.011060225
tac_latn	1.759354072	1.818679	1.033719721
taj_deva	3.218477292	2.558827	0.7950427385
tam_latn	1.267529359	14.462303	11.4098367
tam_taml	2.729099655	9026.482264	3307.494561
taq_latn	1.209249095	2.364802	1.955595427
tar_latn	1.349043297	1.01609	0.7531930239
tat_cyrl	1.854541191	2273.617728	1225.973162
tat_latn	1.146769274	6.293269	5.487824919
tav_latn	1.736780874	1.796368	1.034308949
taw_latn	1.49012594	1.472944	0.9884694712
tbc_latn	1.352446801	1.358365	1.00437592
tbf_latn	1.309862632	1.273303	0.9720889572
tbg_latn	1.633722658	3.998904	2.447725127
tbk_latn	2.134666636	2.114764	0.9906764664
tbo_latn	1.20212338	1.134227	0.9435196244
tbz_latn	1.330093026	7.726086	5.808680934
tca_latn	1.998569176	2.080594	1.041041774
tcs_latn	1.324182304	1.561518	1.179231889
tcy_knda	2.669467794	15.733521	5.89387931
tcz_latn	1.12913762	4.5996	4.073551282
tdt_latn	1.216321913	1.521533	1.250929531
tdx_latn	1.000930264	5.521227	5.516095575
ted_latn	1.936748874	1.750876	0.9040284074
tee_latn	1.650853695	1.665987	1.009166957
tel_latn	1.276370327	27.801056	21.78133996
tel_telu	2.619819498	5836.074892	2227.662973
ter_latn	1.509435213	1.542195	1.021703341
tet_latn	1.400532559	146.115535	104.3285528
tew_latn	1.457728637	1.05977	0.7270008785
tfr_latn	1.466211058	1.545852	1.054317516
